iter	Passed	Remaining
630	1624	950
631	1627	947
632	1629	944
633	1632	942
634	1634	939
635	1636	936
636	1639	934
637	1641	931
638	1643	928
639	1646	926
640	1648	923
641	1651	920
642	1653	918
643	1655	915
644	1658	912
645	1661	910
646	1663	907
647	1666	905
648	1668	902
649	1671	899
650	1673	897
651	1676	894
652	1678	891
653	1680	889
654	1683	886
655	1685	884
656	1688	881
657	1690	878
658	1693	876
659	1695	873
660	1697	870
661	1700	868
662	1702	865
663	1705	863
664	1708	860
665	1711	858
666	1713	855
667	1715	852
668	1718	850
669	1721	847
670	1724	845
671	1726	842
672	1728	840
673	1731	837
674	1734	835
675	1736	832
676	1739	829
677	1741	827
678	1744	824
679	1747	822
680	1750	819
681	1752	817
682	1755	814
683	1757	811
684	1760	809
685	1762	806
686	1765	804
687	1768	801
688	1770	799
689	1773	796
690	1778	795
691	1783	793
692	1788	792
693	1791	789
694	1793	787
695	1796	784
696	1799	782
697	1801	779
698	1804	777
699	1806	774
700	1809	771
701	1811	769
702	1814	766
703	1816	763
704	1819	761
705	1821	758
706	1823	755
707	1826	753
708	1828	750
709	1831	748
710	1834	745
711	1837	743
712	1840	740
713	1842	738
714	1845	735
715	1848	733
716	1850	730
717	1853	727
718	1855	725
719	1858	722
720	1861	720
721	1863	717
722	1866	714
723	1868	712
724	1871	709
725	1873	707
726	1879	705
727	1882	703
728	1885	700
729	1887	698
730	1890	695
731	1893	693
732	1895	690
733	1898	688
734	1901	685
735	1903	682
736	1906	680
737	1909	677
738	1912	675
739	1915	672
740	1918	670
741	1921	668
742	1924	665
743	1927	663
744	1930	660
745	1933	658
746	1936	655
747	1938	653
748	1941	650
749	1944	648
750	1947	645
751	1950	643
752	1952	640
753	1955	637
754	1957	635
755	1960	632
756	1963	630
757	1965	627
758	1968	625
759	1971	622
760	1973	619
761	1976	617
762	1979	614
763	1981	612
764	1984	609
765	1986	606
766	1988	604
767	1991	601
768	1994	599
769	1996	596
770	1999	593
771	2001	591
772	2004	588
773	2007	586
774	2010	583
775	2012	581
776	2015	578
777	2017	575
778	2020	573
779	2022	570
780	2025	567
781	2027	565
782	2030	562
783	2032	559
784	2035	557
785	2037	554
786	2039	552
787	2042	549
788	2044	546
789	2046	544
790	2049	541
791	2052	539
792	2054	536
793	2057	533
794	2059	531
795	2062	528
796	2064	525
797	2067	523
798	2069	520
799	2071	517
800	2074	515
801	2076	512
802	2079	510
803	2081	507
804	2084	504
805	2086	502
806	2088	499
807	2091	496
808	2094	494
809	2096	491
810	2099	489
811	2101	486
812	2103	483
813	2106	481
814	2108	478
815	2111	476
816	2113	473
817	2116	470
818	2118	468
819	2121	465
820	2124	463
821	2126	460
822	2129	457
823	2131	455
824	2134	452
825	2137	450
826	2140	447
827	2143	445
828	2145	442
829	2148	440
830	2151	437
831	2153	434
832	2156	432
833	2159	429
834	2161	427
835	2164	424
836	2167	422
837	2170	419
838	2172	416
839	2174	414
840	2177	411
841	2180	409
842	2183	406
843	2186	404
844	2189	401
845	2191	398
846	2194	396
847	2197	393
848	2199	391
849	2202	388
850	2205	386
851	2207	383
852	2210	380
853	2213	378
854	2215	375
855	2218	373
856	2221	370
857	2224	368
858	2227	365
859	2230	363
860	2232	360
861	2235	357
862	2238	355
863	2241	352
864	2243	350
865	2246	347
866	2248	344
867	2251	342
868	2253	339
869	2256	337
870	2259	334
871	2261	331
872	2264	329
873	2266	326
874	2269	324
875	2272	321
876	2274	319
877	2277	316
878	2280	313
879	2282	311
880	2285	308
881	2287	306
882	2290	303
883	2292	300
884	2295	298
885	2298	295
886	2301	293
887	2303	290
888	2306	287
889	2308	285
890	2311	282
891	2314	280
892	2317	277
893	2320	275
894	2323	272
895	2326	270
896	2329	267
897	2331	264
898	2334	262
899	2336	259
900	2339	257
901	2343	254
902	2345	251
903	2348	249
904	2351	246
905	2353	244
906	2357	241
907	2360	239
908	2362	236
909	2365	233
910	2368	231
911	2370	228
912	2373	226
913	2375	223
914	2378	220
915	2380	218
916	2383	215
917	2386	213
918	2388	210
919	2391	207
920	2393	205
921	2396	202
922	2399	200
923	2402	197
924	2405	195
925	2407	192
926	2410	189
927	2413	187
928	2415	184
929	2418	182
930	2420	179
931	2423	176
932	2425	174
933	2428	171
934	2431	169
935	2433	166
936	2436	163
937	2438	161
938	2441	158
939	2444	156
940	2447	153
941	2449	150
942	2452	148
943	2455	145
944	2458	143
945	2460	140
946	2462	137
947	2465	135
948	2467	132
949	2470	130
950	2473	127
951	2476	124
952	2478	122
953	2481	119
954	2483	117
955	2487	114
956	2489	111
957	2492	109
958	2495	106
959	2497	104
960	2500	101
961	2503	98
962	2506	96
963	2508	93
964	2511	91
965	2514	88
966	2517	85
967	2520	83
968	2522	80
969	2525	78
970	2527	75
971	2530	72
972	2533	70
973	2536	67
974	2539	65
975	2541	62
976	2545	59
977	2547	57
978	2550	54
979	2553	52
980	2555	49
981	2558	46
982	2561	44
983	2564	41
984	2566	39
985	2569	36
986	2572	33
987	2575	31
988	2578	28
989	2581	26
990	2583	23
991	2586	20
992	2589	18
993	2591	15
994	2594	13
995	2597	10
996	2599	7
997	2602	5
998	2605	2
999	2607	0
