iter	Passed	Remaining
640	1241	695
641	1243	693
642	1247	692
643	1248	690
644	1250	688
645	1251	685
646	1253	683
647	1255	681
648	1257	679
649	1260	678
650	1261	676
651	1263	674
652	1265	672
653	1266	670
654	1268	668
655	1273	667
656	1275	665
657	1277	663
658	1278	661
659	1280	659
660	1282	657
661	1283	655
662	1287	654
663	1289	652
664	1290	650
665	1292	647
666	1293	645
667	1294	643
668	1296	641
669	1298	639
670	1302	638
671	1304	636
672	1305	634
673	1307	632
674	1309	630
675	1310	628
676	1312	626
677	1316	625
678	1318	623
679	1319	620
680	1320	618
681	1322	616
682	1324	614
683	1325	612
684	1328	610
685	1330	609
686	1332	607
687	1333	604
688	1335	602
689	1336	600
690	1338	598
691	1340	596
692	1343	595
693	1345	593
694	1347	591
695	1349	589
696	1351	587
697	1352	585
698	1354	583
699	1359	582
700	1361	580
701	1363	578
702	1364	576
703	1366	574
704	1367	572
705	1371	571
706	1372	568
707	1374	566
708	1376	564
709	1377	562
710	1379	560
711	1380	558
712	1382	556
713	1384	554
714	1388	553
715	1390	551
716	1392	549
717	1393	547
718	1395	545
719	1398	543
720	1401	542
721	1403	540
722	1405	538
723	1406	536
724	1408	534
725	1409	532
726	1412	530
727	1415	528
728	1417	526
729	1418	524
730	1420	522
731	1421	520
732	1423	518
733	1426	516
734	1428	515
735	1430	513
736	1432	511
737	1434	509
738	1436	507
739	1438	505
740	1442	504
741	1444	502
742	1446	500
743	1447	498
744	1449	496
745	1450	493
746	1452	492
747	1456	490
748	1458	488
749	1460	486
750	1461	484
751	1463	482
752	1464	480
753	1466	478
754	1469	476
755	1472	475
756	1474	473
757	1476	471
758	1477	469
759	1479	467
760	1481	465
761	1484	463
762	1485	461
763	1487	459
764	1488	457
765	1490	455
766	1491	453
767	1493	451
768	1496	449
769	1499	447
770	1501	445
771	1502	443
772	1503	441
773	1505	439
774	1507	437
775	1511	436
776	1513	434
777	1514	432
778	1516	430
779	1518	428
780	1519	426
781	1522	424
782	1525	422
783	1527	420
784	1529	418
785	1530	416
786	1532	414
787	1533	412
788	1537	411
789	1539	409
790	1541	407
791	1542	405
792	1544	403
793	1546	401
794	1548	399
795	1550	397
796	1553	395
797	1555	393
798	1557	391
799	1558	389
800	1560	387
801	1561	385
802	1564	383
803	1568	382
804	1570	380
805	1572	378
806	1573	376
807	1575	374
808	1579	372
809	1581	370
810	1583	368
811	1584	366
812	1586	364
813	1588	362
814	1590	361
815	1595	359
816	1597	357
817	1599	355
818	1601	353
819	1603	351
820	1605	349
821	1608	348
822	1610	346
823	1611	344
824	1613	342
825	1615	340
826	1616	338
827	1618	336
828	1620	334
829	1623	332
830	1625	330
831	1627	328
832	1628	326
833	1630	324
834	1631	322
835	1635	320
836	1637	318
837	1639	316
838	1640	314
839	1642	312
840	1643	310
841	1645	308
842	1648	306
843	1650	305
844	1651	302
845	1653	300
846	1654	298
847	1656	296
848	1657	294
849	1659	292
850	1660	290
851	1664	289
852	1666	287
853	1667	285
854	1669	283
855	1670	281
856	1672	279
857	1673	276
858	1677	275
859	1679	273
860	1681	271
861	1682	269
862	1684	267
863	1685	265
864	1686	263
865	1688	261
866	1691	259
867	1693	257
868	1695	255
869	1696	253
870	1698	251
871	1699	249
872	1700	247
873	1702	245
874	1705	243
875	1708	241
876	1709	239
877	1711	237
878	1712	235
879	1714	233
880	1715	231
881	1717	229
882	1720	227
883	1722	226
884	1724	224
885	1726	222
886	1727	220
887	1729	218
888	1731	216
889	1734	214
890	1735	212
891	1737	210
892	1738	208
893	1740	206
894	1741	204
895	1743	202
896	1745	200
897	1748	198
898	1749	196
899	1751	194
900	1753	192
901	1754	190
902	1755	188
903	1757	186
904	1761	184
905	1763	182
906	1765	181
907	1767	179
908	1768	177
909	1770	175
910	1772	173
911	1775	171
912	1777	169
913	1778	167
914	1780	165
915	1781	163
916	1782	161
917	1784	159
918	1785	157
919	1789	155
920	1791	153
921	1793	151
922	1794	149
923	1796	147
924	1798	145
925	1800	143
926	1804	142
927	1806	140
928	1807	138
929	1809	136
930	1811	134
931	1812	132
932	1814	130
933	1819	128
934	1821	126
935	1823	124
936	1824	122
937	1825	120
938	1827	118
939	1829	116
940	1831	114
941	1833	112
942	1835	110
943	1837	108
944	1838	107
945	1840	105
946	1843	103
947	1845	101
948	1847	99
949	1848	97
950	1850	95
951	1851	93
952	1853	91
953	1856	89
954	1858	87
955	1860	85
956	1861	83
957	1863	81
958	1864	79
959	1866	77
960	1867	75
961	1869	73
962	1872	71
963	1873	69
964	1875	68
965	1876	66
966	1878	64
967	1879	62
968	1880	60
969	1882	58
970	1887	56
971	1889	54
972	1890	52
973	1892	50
