iter	Passed	Remaining
731	5254	1923
732	5259	1915
733	5265	1908
734	5271	1900
735	5277	1893
736	5283	1885
737	5289	1878
738	5295	1870
739	5302	1862
740	5307	1855
741	5313	1847
742	5319	1839
743	5325	1832
744	5331	1824
745	5337	1817
746	5343	1809
747	5350	1802
748	5357	1795
749	5364	1788
750	5371	1780
751	5377	1773
752	5385	1766
753	5391	1759
754	5397	1751
755	5421	1749
756	5429	1742
757	5437	1736
758	5447	1729
759	5456	1722
760	5465	1716
761	5472	1709
762	5479	1701
763	5485	1694
764	5493	1687
765	5500	1680
766	5507	1673
767	5515	1666
768	5523	1659
769	5532	1652
770	5540	1645
771	5547	1638
772	5558	1632
773	5567	1625
774	5574	1618
775	5584	1612
776	5592	1605
777	5601	1598
778	5608	1591
779	5615	1583
780	5624	1577
781	5630	1569
782	5637	1562
783	5643	1554
784	5650	1547
785	5656	1540
786	5664	1532
787	5670	1525
788	5676	1518
789	5683	1510
790	5689	1503
791	5696	1495
792	5702	1488
793	5709	1481
794	5715	1473
795	5721	1466
796	5728	1458
797	5733	1451
798	5740	1444
799	5746	1436
800	5767	1432
801	5774	1425
802	5781	1418
803	5789	1411
804	5796	1404
805	5803	1396
806	5810	1389
807	5817	1382
808	5825	1375
809	5831	1367
810	5838	1360
811	5846	1353
812	5854	1346
813	5864	1340
814	5874	1333
815	5882	1326
816	5890	1319
817	5899	1312
818	5907	1305
819	5915	1298
820	5921	1291
821	5928	1283
822	5935	1276
823	5943	1269
824	5951	1262
825	5960	1255
826	5967	1248
827	5975	1241
828	5982	1233
829	5989	1226
830	5996	1219
831	6002	1212
832	6009	1204
833	6015	1197
834	6022	1190
835	6030	1182
836	6038	1175
837	6046	1168
838	6053	1161
839	6063	1154
840	6071	1147
841	6079	1140
842	6086	1133
843	6094	1126
844	6101	1119
845	6110	1112
846	6116	1104
847	6122	1097
848	6129	1090
849	6136	1082
850	6143	1075
851	6150	1068
852	6157	1061
853	6165	1054
854	6172	1046
855	6180	1039
856	6187	1032
857	6195	1025
858	6202	1018
859	6210	1010
860	6217	1003
861	6224	996
862	6231	989
863	6238	981
864	6245	974
865	6253	967
866	6261	960
867	6268	953
868	6275	945
869	6282	938
870	6289	931
871	6296	924
872	6304	917
873	6311	909
874	6318	902
875	6326	895
876	6332	888
877	6339	880
878	6348	873
879	6354	866
880	6361	859
881	6368	851
882	6374	844
883	6381	837
884	6388	830
885	6394	822
886	6401	815
887	6408	808
888	6415	801
889	6421	793
890	6427	786
891	6434	779
892	6441	771
893	6447	764
894	6453	757
895	6459	749
896	6465	742
897	6472	735
898	6480	728
899	6486	720
900	6495	713
901	6503	706
902	6511	699
903	6519	692
904	6526	685
905	6533	677
906	6541	670
907	6548	663
908	6555	656
909	6562	649
910	6569	641
911	6577	634
912	6584	627
913	6592	620
914	6599	613
915	6606	605
916	6614	598
917	6622	591
918	6630	584
919	6637	577
920	6645	570
921	6651	562
922	6658	555
923	6666	548
924	6674	541
925	6681	533
926	6689	526
927	6695	519
928	6703	512
929	6711	505
930	6720	498
931	6727	490
932	6735	483
933	6744	476
934	6751	469
935	6759	462
936	6767	455
937	6774	447
938	6785	440
939	6792	433
940	6799	426
941	6806	419
942	6813	411
943	6821	404
944	6829	397
945	6837	390
946	6845	383
947	6853	375
948	6860	368
949	6866	361
950	6872	354
951	6878	346
952	6886	339
953	6892	332
954	6900	325
955	6908	317
956	6915	310
957	6922	303
958	6929	296
959	6936	289
960	6944	281
961	6952	274
962	6959	267
963	6969	260
964	6979	253
965	6989	245
966	6998	238
967	7007	231
968	7015	224
969	7023	217
970	7031	210
971	7038	202
972	7045	195
973	7051	188
974	7061	181
975	7068	173
976	7075	166
977	7081	159
978	7089	152
979	7098	144
980	7106	137
981	7112	130
982	7118	123
983	7124	115
984	7131	108
985	7138	101
986	7146	94
987	7153	86
988	7159	79
989	7165	72
990	7171	65
991	7178	57
992	7183	50
993	7188	43
994	7194	36
995	7199	28
996	7204	21
997	7209	14
998	7214	7
999	7220	0
